기본 = 손절 -7 · 본전 전환 +7 · 최대 보유 10일 · 점수 60 · 대금 500억 · 시총 1000억

### 지금 규칙 vs 되돌림 (보유 10일)
A 익절 +15 고정 (지금)                   | n 1812 평균  -0.1 중앙  -7.0 승률  31 보유  4.1일 손익비 1.91 | 홀드20  -0.6 | 앞 +  0.7 뒤  -0.7 ❌ | 손절 1053(-7.1) 본전 136(-0.1) 익절 433(+15.6) 기간 190(+ 3.1)
B 익절 없음 · 되돌림 -8                   | n 1812 평균  -2.5 중앙  -4.1 승률  19 보유  3.0일 손익비 1.27 | 홀드20  -0.6 | 앞  -2.2 뒤  -2.7 ❌ | 손절 744(-7.1) 본전 49(-0.1) 고점 933(+ 0.3) 기간 86(+ 6.1)
B 익절 없음 · 되돌림 -10                  | n 1812 평균  -1.9 중앙  -6.1 승률  22 보유  3.8일 손익비 1.62 | 홀드20  -0.6 | 앞  -1.1 뒤  -2.5 ❌ | 손절 895(-7.1) 본전 104(-0.0) 고점 620(+ 2.1) 기간 193(+ 8.5)
B 익절 없음 · 되돌림 -12                  | n 1812 평균  -1.2 중앙  -7.0 승률  24 보유  4.4일 손익비 1.95 | 홀드20  -0.6 | 앞  -0.2 뒤  -1.9 ❌ | 손절 978(-7.1) 본전 141(-0.1) 고점 402(+ 3.4) 기간 291(+11.9)
B 익절 없음 · 되돌림 -15                  | n 1812 평균  -0.8 중앙  -7.0 승률  24 보유  4.7일 손익비 2.16 | 홀드20  -0.6 | 앞 +  0.4 뒤  -1.9 ❌ | 손절 1036(-7.1) 본전 200(-0.1) 고점 214(+ 4.5) 기간 362(+13.6)
C 익절 없음 · 되돌림 없음                   | n 1812 평균 +  0.2 중앙  -7.0 승률  23 보유  5.2일 손익비 2.84 | 홀드20  -0.6 | 앞 +  2.1 뒤  -1.3 ❌ | 손절 1056(-7.1) 본전 282(-0.1) 기간 474(+16.8)

### 보유 기간을 풀면 — 되돌림은 시간이 있어야 뜻이 있다
A 익절 +15 고정 · 보유 20일               | n 1812 평균  -0.1 중앙  -7.0 승률  29 보유  4.7일 손익비 2.09 | 홀드20  -0.6 | 앞 +  0.7 뒤  -0.8 ❌ | 손절 1099(-7.1) 본전 188(-0.1) 익절 471(+15.6) 기간 54(+ 5.0)
B 되돌림 -8 · 보유 20일                  | n 1812 평균  -2.7 중앙  -4.2 승률  17 보유  3.2일 손익비 1.24 | 홀드20  -0.6 | 앞  -2.3 뒤  -2.9 ❌ | 손절 750(-7.1) 본전 57(-0.0) 고점 1002(+ 0.5) 기간 3(+ 2.9)
B 되돌림 -10 · 보유 20일                 | n 1812 평균  -2.0 중앙  -7.0 승률  20 보유  4.4일 손익비 1.71 | 홀드20  -0.6 | 앞  -1.1 뒤  -2.7 ❌ | 손절 913(-7.1) 본전 128(-0.0) 고점 726(+ 3.4) 기간 45(+ 7.8)
