표본 28225 · 80일 · 세대 3 초록 3158

## A. 초록에서 경보를 하나씩 뺐을 때
집합                                          |    n  med/win |강세장          |약세장          | 블록1   2     3     4 | 절대 d20 | 하루 후보
초록 그대로                                      | 3158  +4.5/61 |강 1382  +4.0/59 |약 1776  +4.6/62 |  +2.4  +3.9 +10.3  +2.3 | 절대  -3.6/42 | 하루 39
초록 − 회전율 ≥3%  (걸림 706)                      | 2452  +5.3/63 |강  754  +7.1/63 |약 1698  +4.7/63 |  +4.9  +3.9 +10.8  +2.3 | 절대  -1.4/46 | 하루 30
초록 − 회전율 ≥1%  (걸림 1470)                     | 1688  +5.4/64 |강  342  +7.7/66 |약 1346  +5.0/64 |  +3.3  +3.4 +12.0  +2.1 | 절대  -0.3/49 | 하루 21
초록 − 변동성 σ ≥5%  (걸림 1091)                   | 2067  +5.6/65 |강  746  +4.1/60 |약 1321  +5.8/67 |  +0.9  +4.9 +13.5  +1.5 | 절대  -2.1/44 | 하루 26
초록 − 변동성 σ ≥7%  (걸림 366)                    | 2792  +5.1/63 |강 1154  +5.2/61 |약 1638  +5.1/64 |  +2.8  +4.3 +11.9  +2.3 | 절대  -2.6/43 | 하루 34
초록 − RS20 ≥20%p  (걸림 871)                   | 2287  +4.9/63 |강  756  +4.0/59 |약 1531  +5.1/64 |  +2.5  +3.1 +11.5  +3.2 | 절대  -2.8/43 | 하루 28
초록 − RS20 ≥15%p  (걸림 1156)                  | 2002  +5.0/63 |강  620  +3.3/58 |약 1382  +5.4/65 |  +1.6  +3.0 +11.7  +3.8 | 절대  -3.2/42 | 하루 25
초록 − RS60 ≥30%p  (걸림 799)                   | 2359  +5.2/64 |강  842  +4.0/60 |약 1517  +5.6/66 |  +2.1  +3.8 +11.8  +3.7 | 절대  -2.9/43 | 하루 29
초록 − 60일 저점 대비 ≥150%  (걸림 1205)             | 1953  +5.1/64 |강  370  +3.7/61 |약 1583  +5.4/65 |  +0.9  +3.6 +11.7  +2.7 | 절대  -1.5/45 | 하루 24
초록 − 갭 ≥3%  (걸림 513)                        | 2645  +4.7/62 |강 1012  +4.5/60 |약 1633  +4.7/63 |  +2.8  +3.8 +10.8  +2.2 | 절대  -2.8/43 | 하루 33
초록 − 진폭 ≥12%  (걸림 723)                      | 2435  +5.4/63 |강  867  +6.3/62 |약 1568  +5.1/64 |  +4.0  +3.8 +11.7  +2.6 | 절대  -1.7/46 | 하루 30
초록 − 진폭 ≥8%  (걸림 1481)                      | 1677  +6.3/66 |강  551  +6.4/62 |약 1126  +6.2/67 |  +3.5  +4.0 +12.8  +3.2 | 절대  -0.4/49 | 하루 21
초록 − 거래량 ≥2.5배  (걸림 533)                    | 2625  +5.1/62 |강  903  +6.6/62 |약 1722  +4.7/62 |  +4.8  +3.6 +10.4  +2.4 | 절대  -1.9/45 | 하루 32
